Name,Platform,Size,Date,Store,
Sky Force Anniversary,PS Vita,244.54MB,6/28/2020,https://store.playstation.com/en-us/product/UP4179-NPUB31813_00-SKYFORCEANNIVERS,
The Swapper PS Vita,PS Vita,218.73MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-PCSE00387_00-THESWAPPER000000,
"Papers, Please",PS Vita,44.71MB,6/28/2020,https://store.playstation.com/en-us/product/UP2879-PCSE01056_00-PAPERSPLEASE00NA,
Little Deviants™,PS Vita,895.59MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00010_00-LITTLEDEVIANTS00,
Velocity® Ultra,PS Vita,176.07MB,6/28/2020,https://store.playstation.com/en-us/product/UP4143-PCSE00038_00-VELOCITYULTRA000,
Squares,PS Vita,363.08MB,6/28/2020,https://store.playstation.com/en-us/product/UP0409-PCSE00676_00-SQUARES20155LEAP,
HELLDIVERS™ PS Vita,PS Vita,1.68GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-CUSA00142_00-HELLDIVERSSCEA00,
Broken Sword 5 The Serpent's Curse: Episode 2,PS Vita,1.05GB,6/28/2020,https://store.playstation.com/en-us/product/UP4456-PCSE00586_00-BROKENSWORD5P2EN,
Space Overlords,PS Vita,795.86MB,6/28/2020,https://store.playstation.com/en-us/product/UP0809-PCSE00911_00-SPACEOVERLORDS00,
Stealth Inc: A Clone in the Dark PS Vita,PS Vita,160.49MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-NPUB31260_00-STEALTHBSPS3FG00,
Final Horizon,PS Vita,129.66MB,6/28/2020,https://store.playstation.com/en-us/product/UP4168-PCSE00504_00-FINALHORIZONVITA,
PixelJunk™ Shooter Ultimate,PS Vita,284.49MB,6/28/2020,https://store.playstation.com/en-us/product/UP4415-CUSA00657_00-SHOOTERULTIMATE0,
Soul Sacrifice™,PS Vita,1.71GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00092_00-SOULSACRIFICEUS0,
Exile's End,PS Vita,95.59MB,6/28/2020,https://store.playstation.com/en-us/product/UP1023-PCSE00941_00-0000000000000000,
TorqueL,PS Vita,363.43MB,6/28/2020,https://store.playstation.com/en-us/product/UP0969-PCSE00671_00-0000000000000000,
The Bridge,PS Vita,160.63MB,6/28/2020,https://store.playstation.com/en-us/product/UP2199-NPUB31592_00-THEBRIDGEPS30001,
CounterSpy™ PS Vita,PS Vita,532.36MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-PCSA00116_00-COUNTERSPYVITA00,
Rocketbirds 2: Evolution,PS Vita,2.59GB,6/28/2020,https://store.playstation.com/en-us/product/UP5015-PCSE00761_00-RB20000000000001,
Sly Cooper®: Thieves in Time PS Vita,PS Vita,3.27GB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-NPUA80875_00-SLYCOOPERPSN0000,
Hustle Kings™ PS Vita,PS Vita,322.18MB,6/28/2020,https://store.playstation.com/en-us/product/UP9000-NPUA80291_00-UHUSTLEKIN000001,
CastleStorm PS Vita,PS Vita,242.18MB,6/28/2020,https://store.playstation.com/en-us/product/UP4042-NPUB50104_00-B000000000000270,
PSYCHO-PASS: Mandatory Happiness,PS Vita,1.68GB,6/28/2020,https://store.playstation.com/en-us/product/UP1063-PCSE00904_00-PSYCHOPASSVITA00,
Duke Nukem 3D: Megaton Edition,PS Vita,445.64MB,6/28/2020,https://store.playstation.com/en-us/product/UP3643-NPUB31378_00-DUKE3DHDUSPS3000,
Surge Deluxe,PS Vita,109.01MB,6/28/2020,https://store.playstation.com/en-us/product/UP4143-PCSE00370_00-SURGEDELUXE00000,
MouseCraft PS Vita,PS Vita,240.59MB,6/28/2020,https://store.playstation.com/en-us/product/UP4395-PCSE00420_00-MOUSECRAFTVITA00,
Hue,PS Vita,411.47MB,5/10/2020,https://store.playstation.com/en-us/product/UP4395-CUSA07205_00-INSTANTINDIEVOL4,
Guacamelee! PS Vita,PS Vita,326.65MB,5/6/2020,https://store.playstation.com/en-us/product/UP2045-NPUB30672_00-GUACAMELEE000002,
Tales From Space: Mutant Blobs Attack,PS Vita,126.93MB,9/22/2019,https://store.playstation.com/en-us/product/UP2045-PCSE00589_00-DBOXBUNDLE000000,
Guacamelee! PS Vita - El Diablo's Domain (Challenge Level),PS Vita,100KB,9/22/2019,https://store.playstation.com/en-us/product/UP2045-PCSE00589_00-DBOXBUNDLE000000,
Severed,PS Vita,224.66MB,9/22/2019,https://store.playstation.com/en-us/product/UP2045-PCSE00589_00-DBOXBUNDLE000000,
Guacamelee! - Costume Pack 1,PS Vita,100KB,9/22/2019,https://store.playstation.com/en-us/product/UP2045-PCSE00589_00-DBOXBUNDLE000000,
Teslagrad,PS Vita,365.99MB,8/28/2019,https://store.playstation.com/en-us/product/UP4513-PCSE00814_00-TESLAGRAD0000001,
Killzone™: Mercenary Botzone Soldier Training,PS Vita,100KB,8/6/2019,https://store.playstation.com/en-us/product/UP9000-PCSA00107_00-P000000000001957,
The Bard's Tale: Remastered and Resnarkled,PS Vita,1.67GB,7/2/2019,https://store.playstation.com/en-us/product/UP2028-CUSA06499_00-THEBARDSTALERNRD,
Stardew valley,PS Vita,154.88MB,3/16/2019,https://store.playstation.com/en-us/product/UP2456-PCSE01235_00-STARDEW00000SIEA,
